Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
01/01/2024 00:00:00 - 01/01/2024 01:00:00;343.00;n/e;n/e;n/e;1810.00;15.00;162.00;n/e;n/e;n/e;;4822.00;1481.00;n/e;40387.00;n/e;n/e;225.00;87.00;578.00;14399.00
01/01/2024 01:00:00 - 01/01/2024 02:00:00;343.00;n/e;n/e;n/e;1840.00;16.00;191.00;n/e;n/e;n/e;;4767.00;1282.00;n/e;37528.00;n/e;n/e;0.00;83.00;577.00;14157.00
01/01/2024 02:00:00 - 01/01/2024 03:00:00;343.00;n/e;n/e;n/e;1787.00;16.00;190.00;n/e;n/e;n/e;;4918.00;1005.00;n/e;37320.00;n/e;n/e;0.00;87.00;578.00;13789.00
01/01/2024 03:00:00 - 01/01/2024 04:00:00;343.00;n/e;n/e;n/e;1778.00;15.00;190.00;n/e;n/e;n/e;;4876.00;936.00;n/e;36954.00;n/e;n/e;0.00;87.00;577.00;12816.00
01/01/2024 04:00:00 - 01/01/2024 05:00:00;343.00;n/e;n/e;n/e;1765.00;15.00;191.00;n/e;n/e;n/e;;4863.00;798.00;n/e;36906.00;n/e;n/e;0.00;88.00;576.00;8031.00
01/01/2024 05:00:00 - 01/01/2024 06:00:00;343.00;n/e;n/e;n/e;1779.00;15.00;191.00;n/e;n/e;n/e;;4869.00;731.00;n/e;36344.00;n/e;n/e;0.00;93.00;570.00;7678.00
01/01/2024 06:00:00 - 01/01/2024 07:00:00;342.00;n/e;n/e;n/e;1766.00;15.00;190.00;n/e;n/e;n/e;;4797.00;734.00;n/e;36148.00;n/e;n/e;0.00;91.00;567.00;7520.00
01/01/2024 07:00:00 - 01/01/2024 08:00:00;343.00;n/e;n/e;n/e;1769.00;15.00;190.00;n/e;n/e;n/e;;4655.00;760.00;n/e;36740.00;n/e;n/e;0.00;93.00;556.00;7142.00
01/01/2024 08:00:00 - 01/01/2024 09:00:00;343.00;n/e;n/e;n/e;1881.00;15.00;190.00;n/e;n/e;n/e;;4682.00;1058.00;n/e;36510.00;n/e;n/e;246.00;93.00;565.00;6942.00
01/01/2024 09:00:00 - 01/01/2024 10:00:00;344.00;n/e;n/e;n/e;1877.00;16.00;190.00;n/e;n/e;n/e;;4811.00;750.00;n/e;35080.00;n/e;n/e;318.00;94.00;542.00;10361.00
01/01/2024 10:00:00 - 01/01/2024 11:00:00;343.00;n/e;n/e;n/e;1894.00;16.00;190.00;n/e;n/e;n/e;;4859.00;766.00;n/e;35665.00;n/e;n/e;933.00;94.00;410.00;10525.00
01/01/2024 11:00:00 - 01/01/2024 12:00:00;343.00;n/e;n/e;n/e;1896.00;16.00;190.00;n/e;n/e;n/e;;4828.00;848.00;n/e;36702.00;n/e;n/e;2454.00;96.00;465.00;9949.00
01/01/2024 12:00:00 - 01/01/2024 13:00:00;343.00;n/e;n/e;n/e;1894.00;16.00;191.00;n/e;n/e;n/e;;4812.00;854.00;n/e;36729.00;n/e;n/e;4021.00;95.00;545.00;9505.00
01/01/2024 13:00:00 - 01/01/2024 14:00:00;343.00;n/e;n/e;n/e;1914.00;16.00;191.00;n/e;n/e;n/e;;4755.00;850.00;n/e;37065.00;n/e;n/e;4883.00;93.00;558.00;9492.00
01/01/2024 14:00:00 - 01/01/2024 15:00:00;342.00;n/e;n/e;n/e;1898.00;16.00;191.00;n/e;n/e;n/e;;4882.00;930.00;n/e;36874.00;n/e;n/e;4926.00;93.00;550.00;9209.00
01/01/2024 15:00:00 - 01/01/2024 16:00:00;342.00;n/e;n/e;n/e;1867.00;16.00;191.00;n/e;n/e;n/e;;5009.00;1169.00;n/e;37189.00;n/e;n/e;4188.00;92.00;551.00;8667.00
01/01/2024 16:00:00 - 01/01/2024 17:00:00;343.00;n/e;n/e;n/e;1870.00;16.00;191.00;n/e;n/e;n/e;36.00;5224.00;1731.00;n/e;38429.00;n/e;n/e;2703.00;93.00;571.00;8035.00
