Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
01/01/2024 00:00:00 - 01/01/2024 01:00:00;332.00;n/e;n/e;753.00;8652.00;423.00;19.00;n/e;n/e;625.00;0.00;2181.00;177.00;n/e;n/e;1147.00;n/e;0.00;322.00;0.00;3905.00
01/01/2024 01:00:00 - 01/01/2024 02:00:00;341.00;n/e;n/e;753.00;7679.00;424.00;26.00;n/e;n/e;626.00;0.00;2092.00;103.00;n/e;n/e;1092.00;n/e;0.00;326.00;0.00;3927.00
01/01/2024 02:00:00 - 01/01/2024 03:00:00;337.00;n/e;n/e;754.00;6774.00;424.00;16.00;n/e;n/e;626.00;0.00;1960.00;91.00;n/e;n/e;999.00;n/e;0.00;320.00;0.00;4041.00
01/01/2024 03:00:00 - 01/01/2024 04:00:00;334.00;n/e;n/e;754.00;6516.00;424.00;26.00;n/e;n/e;628.00;0.00;1922.00;86.00;n/e;n/e;953.00;n/e;0.00;323.00;0.00;4122.00
01/01/2024 04:00:00 - 01/01/2024 05:00:00;332.00;n/e;n/e;753.00;6308.00;424.00;23.00;n/e;n/e;629.00;0.00;1823.00;89.00;n/e;n/e;882.00;n/e;0.00;322.00;0.00;4018.00
01/01/2024 05:00:00 - 01/01/2024 06:00:00;329.00;n/e;n/e;753.00;6251.00;424.00;26.00;n/e;n/e;629.00;0.00;1921.00;88.00;n/e;n/e;873.00;n/e;0.00;309.00;0.00;4062.00
01/01/2024 06:00:00 - 01/01/2024 07:00:00;338.00;n/e;n/e;752.00;6385.00;429.00;16.00;n/e;n/e;629.00;0.00;1867.00;101.00;n/e;n/e;894.00;n/e;0.00;291.00;0.00;3977.00
01/01/2024 07:00:00 - 01/01/2024 08:00:00;333.00;n/e;n/e;752.00;6629.00;430.00;16.00;n/e;n/e;631.00;44.00;2113.00;182.00;n/e;n/e;901.00;n/e;81.00;279.00;0.00;3957.00
01/01/2024 08:00:00 - 01/01/2024 09:00:00;332.00;n/e;n/e;751.00;6192.00;430.00;16.00;n/e;n/e;630.00;55.00;2238.00;198.00;n/e;n/e;832.00;n/e;837.00;282.00;0.00;3720.00
01/01/2024 09:00:00 - 01/01/2024 10:00:00;316.00;n/e;n/e;751.00;6434.00;430.00;16.00;n/e;n/e;630.00;58.00;2255.00;301.00;n/e;n/e;811.00;n/e;2288.00;286.00;0.00;3472.00
01/01/2024 10:00:00 - 01/01/2024 11:00:00;315.00;n/e;n/e;751.00;6150.00;430.00;16.00;n/e;n/e;629.00;44.00;2208.00;204.00;n/e;n/e;847.00;n/e;3551.00;285.00;0.00;3485.00
01/01/2024 11:00:00 - 01/01/2024 12:00:00;315.00;n/e;n/e;751.00;6265.00;429.00;16.00;n/e;n/e;629.00;10.00;2006.00;204.00;n/e;n/e;948.00;n/e;3807.00;277.00;0.00;3651.00
01/01/2024 12:00:00 - 01/01/2024 13:00:00;312.00;n/e;n/e;751.00;6935.00;430.00;16.00;n/e;n/e;625.00;66.00;1985.00;220.00;n/e;n/e;955.00;n/e;3689.00;276.00;1.00;3595.00
01/01/2024 13:00:00 - 01/01/2024 14:00:00;313.00;n/e;n/e;752.00;7487.00;430.00;16.00;n/e;n/e;586.00;68.00;1873.00;181.00;n/e;n/e;902.00;n/e;3054.00;278.00;3.00;3370.00
