Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
01/01/2024 00:00:00 - 01/01/2024 01:00:00;361.50;n/e;n/e;n/e;190.90;0.00;n/e;n/e;n/e;n/e;1455.00;777.70;124.50;n/e;n/e;31.60;n/e;0.10;n/e;1.10;350.80
01/01/2024 01:00:00 - 01/01/2024 02:00:00;364.20;n/e;n/e;n/e;192.70;0.00;n/e;n/e;n/e;n/e;1065.10;634.90;141.10;n/e;n/e;31.70;n/e;0.00;n/e;3.10;339.60
01/01/2024 02:00:00 - 01/01/2024 03:00:00;366.00;n/e;n/e;n/e;190.10;0.00;n/e;n/e;n/e;n/e;484.10;500.70;142.70;n/e;n/e;32.20;n/e;0.00;n/e;2.80;411.10
01/01/2024 03:00:00 - 01/01/2024 04:00:00;364.60;n/e;n/e;n/e;189.70;0.00;n/e;n/e;n/e;n/e;248.20;1097.00;142.30;n/e;n/e;32.10;n/e;0.00;n/e;2.10;485.00
01/01/2024 04:00:00 - 01/01/2024 05:00:00;365.20;n/e;n/e;n/e;189.90;0.00;n/e;n/e;n/e;n/e;267.40;787.90;142.60;n/e;n/e;32.20;n/e;0.00;n/e;2.80;507.90
01/01/2024 05:00:00 - 01/01/2024 06:00:00;363.80;n/e;n/e;n/e;190.20;0.00;n/e;n/e;n/e;n/e;256.50;823.50;142.60;n/e;n/e;32.20;n/e;0.00;n/e;4.90;533.40
01/01/2024 06:00:00 - 01/01/2024 07:00:00;364.20;n/e;n/e;n/e;190.20;0.00;n/e;n/e;n/e;n/e;283.50;835.00;142.50;n/e;n/e;32.20;n/e;0.00;n/e;5.70;554.70
01/01/2024 07:00:00 - 01/01/2024 08:00:00;362.30;n/e;n/e;n/e;191.00;0.00;n/e;n/e;n/e;n/e;338.60;416.30;173.30;n/e;n/e;32.80;n/e;0.00;n/e;7.30;440.80
01/01/2024 08:00:00 - 01/01/2024 09:00:00;364.00;n/e;n/e;n/e;192.40;0.00;n/e;n/e;n/e;n/e;278.60;442.40;176.30;n/e;n/e;32.60;n/e;0.80;n/e;9.80;331.20
01/01/2024 09:00:00 - 01/01/2024 10:00:00;362.50;n/e;n/e;n/e;195.20;0.00;n/e;n/e;n/e;n/e;425.40;315.30;207.20;n/e;n/e;31.80;n/e;119.10;n/e;10.10;319.10
