"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2021 - 01/01/2022","2021","BZN|ES","Biomass","704.00",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Energy storage","n/e",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Fossil Brown coal/Lignite","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Fossil Coal-derived gas","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Fossil Gas","29969.50",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Fossil Hard coal","5977.00",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Fossil Oil","678.40",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Fossil Oil shale","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Fossil Peat","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Geothermal","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Hydro Pumped Storage","5645.40",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Hydro Run-of-river and pondage","1154.80",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Hydro Water Reservoir","19185.70",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Marine","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Nuclear","7117.20",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Other","117.40",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Other renewable","268.80",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Solar","11389.50",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Waste","537.10",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Wind Offshore","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","Wind Onshore","26663.60",""
"01/01/2021 - 01/01/2022","2021","BZN|ES","","","109408.40"
